Ул.Маяковского,11
ул. маяковского, 35 
ул. Колесникова, 16
ул. Колесникова, 18
ул. Налибокская, 34
ул. Неманская, 4
ул. Неманская, 6
ул. Притыцкого, 156
ул. Притыцкого, 158
ул. Притыцкого, 160
ул. Илимская, 8
пр. Машерова, 38
пр. Машерова, 42
ул. М.Богдановича, 124
ул. М.Богдановича, 128
ул. М.Богдановича, 130
ул. Беломорская, 23
ул. Тургенева,1
логойский тракт 21
логойский тракт 19/2
1-ый пер. Фамина, 8
ул. Радищева, 3
ул. Левкова, 45
ул.Аэродромная,32
ул. беломорская, 21
ул.Мельникайте, 2
ул.Сторожовская, 15
ул.Тимирязева, 67
пр. Победителей, 57
ул. Л. Украинки, 6/1
ул. Л. Украинки, 6/2
ул. Л. Украинки, 6/3
ул. Л. Украинки, 6/4
Мястровская, 12
Ржавецкая, 5
Мястровская, 28
Червякова, 62
Сморговский тракт 3
ул.Мястровская, 4
ул.Мястровская, 6
ул.Мястровская, 8
Сморговский т-т 7
ул. Мястровская, 24
ул. Мястровская, 16
пр. Победителей, 9
Грибоедова, 1
Ильянская, 2
Ильянская, 2а
Сморговский т-т 1
Сторожевская, 6
Сморговский т-т 9
Тимирязева, 10
ул.Связистов, 11
ул.Высокая, 11д
ул.Бумажкова, 37а
ул.Карвата, 31а
ул.Карвата, 31г
ул. Калиновского, 54 к. 3
ул. Шугаева, 7
ул. Шугаева, 9
ул. Шугаева, 11
пр. Независимости, 116
ул. Ложинская, 5
ул.  Шафарнянская, 3
ул. Шафарнянская, 1
ул. Водолажского, 6а
ул.  Филимонова, 55
ул.  П.Мстиславца, 17
ул.  П.Мстиславца, 15
ул.  Макаенка, 12А
ул. К.Туровского, 14 (№24 по г.п.)
мстиславца, 3
ул.  Туровского, 4
ул.  Туровского, 24 (20 а,б)
Пр-т Г. «Правда», 46
Ул. Голубева, 16 
ул. Рафиева,54
ул.Голубева, 19
ул. Голубева, 21
пр. Правды, 44
пр.Дзержинского, 82
Пр.Дзержинского,24
Ул.Чюрлениса,12
пр. газ. Правда, 17
